agno_fecun;COD_MUN_RESIDENCIA;total
1900;;20413
1900;05001;11
1900;05002;
1900;05004;
1900;05021;
1900;05030;
1900;05031;
1900;05034;
1900;05036;
1900;05038;
1900;05040;
1900;05042;
1900;05044;1
1900;05045;
1900;05051;
1900;05055;
1900;05059;
1900;05079;1
1900;05086;
1900;05088;1
1900;05091;
1900;05093;
1900;05101;2
1900;05107;
1900;05113;
1900;05120;
1900;05125;
1900;05129;2
1900;05134;
1900;05138;
1900;05142;
1900;05145;
1900;05147;
1900;05148;
1900;05150;1
1900;05154;1
1900;05172;
1900;05190;
1900;05197;
1900;05206;
1900;05209;
1900;05212;1
1900;05234;1
1900;05237;
1900;05240;
1900;05250;
1900;05264;
1900;05266;
1900;05282;
1900;05284;
1900;05306;
1900;05308;1
1900;05310;
1900;05313;
1900;05315;
1900;05318;
1900;05321;
1900;05347;
1900;05353;
1900;05360;1
1900;05361;
1900;05364;
1900;05368;
1900;05376;
1900;05380;
1900;05390;
1900;05400;
1900;05411;
1900;05425;
1900;05440;2
1900;05467;
1900;05475;
1900;05480;
1900;05483;
1900;05490;
1900;05495;
1900;05501;
1900;05541;
1900;05543;
1900;05576;
1900;05579;
1900;05585;
1900;05591;
1900;05604;1
1900;05607;
1900;05615;1
1900;05628;
1900;05631;1
1900;05642;
1900;05647;
1900;05649;
1900;05652;
1900;05656;
1900;05658;
1900;05659;
1900;05660;
1900;05664;1
1900;05665;
1900;05667;
1900;05670;
1900;05674;
1900;05679;
1900;05686;
1900;05690;
1900;05697;
1900;05736;1
1900;05756;1
1900;05761;
1900;05789;
1900;05790;1
1900;05792;
1900;05809;
1900;05819;
1900;05837;3
1900;05842;
1900;05847;
1900;05854;
1900;05856;
1900;05858;
1900;05861;
1900;05873;
1900;05885;
1900;05887;1
1900;05890;
1900;05893;
1900;05895;
1900;08001;9
1900;08078;
1900;08137;
1900;08141;
1900;08296;
1900;08372;
1900;08421;
1900;08433;
1900;08436;1
1900;08520;1
1900;08549;
1900;08558;
1900;08560;
1900;08573;
1900;08606;
1900;08634;1
1900;08638;
1900;08675;
1900;08685;
1900;08758;12
1900;08770;
1900;08832;
1900;08849;1
1900;11001;37
1900;13001;10
1900;13006;
1900;13030;
1900;13042;
1900;13052;
1900;13062;
1900;13074;
1900;13140;
1900;13160;
1900;13188;1
1900;13212;
1900;13222;
1900;13244;
1900;13248;
1900;13268;
1900;13300;
1900;13430;1
1900;13433;
1900;13440;
1900;13442;1
1900;13458;
1900;13468;
1900;13473;
1900;13490;
1900;13549;
1900;13580;
1900;13600;
1900;13620;
1900;13647;
1900;13650;
1900;13654;
1900;13655;
1900;13657;
1900;13667;
1900;13670;
1900;13673;
1900;13683;
1900;13688;
1900;13744;
1900;13760;
1900;13780;
1900;13810;
1900;13836;1
1900;13838;
1900;13873;
1900;13894;
1900;15001;2
1900;15022;
1900;15047;
1900;15051;
1900;15087;
1900;15090;
1900;15092;1
1900;15097;
1900;15104;
1900;15106;
1900;15109;
1900;15114;
1900;15131;
1900;15135;
1900;15162;
1900;15172;
1900;15176;
1900;15180;
1900;15183;
1900;15185;
1900;15187;
1900;15189;
1900;15204;
1900;15212;
1900;15215;
1900;15218;
1900;15223;
1900;15224;1
1900;15226;
1900;15232;
1900;15236;
1900;15238;
1900;15244;
1900;15248;
1900;15272;
1900;15276;
1900;15293;
1900;15296;
1900;15299;
1900;15317;
1900;15322;
1900;15325;
1900;15332;
1900;15362;
1900;15367;
1900;15368;
1900;15377;
1900;15380;
1900;15401;
1900;15403;
1900;15407;
1900;15425;1
1900;15442;
1900;15455;
1900;15464;
1900;15466;1
1900;15469;
1900;15476;
1900;15480;
1900;15491;
1900;15494;
1900;15500;
1900;15507;
1900;15511;
1900;15514;
1900;15516;
1900;15518;
1900;15522;
1900;15531;
1900;15533;
1900;15537;
1900;15542;
1900;15550;
1900;15572;
1900;15580;
1900;15599;
1900;15600;
1900;15621;
1900;15632;
1900;15638;
1900;15646;
1900;15660;
1900;15664;
1900;15667;
1900;15673;
1900;15676;
1900;15681;
1900;15686;
1900;15690;
1900;15693;
1900;15696;
1900;15720;
1900;15723;
1900;15740;
1900;15753;
1900;15755;
1900;15757;
1900;15759;
1900;15761;
1900;15762;
1900;15763;
1900;15764;1
1900;15774;
1900;15776;
1900;15778;
1900;15790;
1900;15798;
1900;15804;
1900;15806;
1900;15808;
1900;15810;
1900;15814;
1900;15816;
1900;15820;
1900;15822;
1900;15832;
1900;15835;
1900;15837;
1900;15839;
1900;15842;
1900;15861;
1900;15879;
1900;15897;
1900;17001;5
1900;17013;
1900;17042;
1900;17050;
1900;17088;1
1900;17174;1
1900;17272;
1900;17380;
1900;17388;
1900;17433;
1900;17442;
1900;17444;
1900;17446;
1900;17486;
1900;17495;
1900;17513;
1900;17524;1
1900;17541;
1900;17614;
1900;17616;
1900;17653;
1900;17662;
1900;17665;
1900;17777;
1900;17867;
1900;17873;
1900;17877;
1900;18001;1
1900;18029;
1900;18094;
1900;18150;
1900;18205;
1900;18247;1
1900;18256;
1900;18410;
1900;18460;
1900;18479;
1900;18592;
1900;18610;
1900;18753;
1900;18756;
1900;18785;
1900;18860;
1900;19001;2
1900;19022;1
1900;19050;
1900;19075;
1900;19100;
1900;19110;1
1900;19130;
1900;19137;2
1900;19142;
1900;19212;
1900;19256;
1900;19290;
1900;19300;
1900;19318;1
1900;19355;
1900;19364;
1900;19392;
1900;19397;1
1900;19418;
1900;19450;
1900;19455;
1900;19473;
1900;19513;2
1900;19517;
1900;19532;
1900;19533;1
1900;19548;
1900;19573;1
1900;19585;
1900;19622;
1900;19693;
1900;19698;1
1900;19701;
1900;19743;1
1900;19760;1
1900;19780;1
1900;19785;
1900;19807;
1900;19809;
1900;19821;
1900;19824;1
1900;19845;
1900;20001;4
1900;20011;
1900;20013;2
1900;20032;1
1900;20045;
1900;20060;
1900;20175;
1900;20178;
1900;20228;1
1900;20238;
1900;20250;
1900;20295;
1900;20310;
1900;20383;
1900;20400;
1900;20443;
1900;20517;
1900;20550;
1900;20570;
1900;20614;2
1900;20621;
1900;20710;
1900;20750;
1900;20770;
1900;20787;
1900;23001;2
1900;23068;
1900;23079;
1900;23090;
1900;23162;
1900;23168;1
1900;23182;1
1900;23189;
1900;23300;
1900;23350;
1900;23417;1
1900;23419;
1900;23464;2
1900;23466;4
1900;23500;
1900;23555;1
1900;23570;
1900;23574;
1900;23580;2
1900;23586;
1900;23660;
1900;23670;1
1900;23672;1
1900;23675;
1900;23678;
1900;23682;
1900;23686;
1900;23807;2
1900;23815;
1900;23855;
1900;25001;
1900;25019;
1900;25035;
1900;25040;
1900;25053;
1900;25086;
1900;25095;
1900;25099;
1900;25120;
1900;25123;
1900;25126;
1900;25148;
1900;25151;
1900;25154;
1900;25168;
1900;25175;
1900;25178;
1900;25181;1
1900;25183;
1900;25200;
1900;25214;1
1900;25224;
1900;25245;
1900;25258;
1900;25260;
1900;25269;
1900;25279;1
1900;25281;
1900;25286;2
1900;25288;
1900;25290;
1900;25293;
1900;25295;
1900;25297;1
1900;25299;
1900;25307;1
1900;25312;
1900;25317;1
1900;25320;
1900;25322;
1900;25324;
1900;25326;
1900;25328;
1900;25335;
1900;25339;
1900;25368;
1900;25372;
1900;25377;
1900;25386;1
1900;25394;
1900;25398;
1900;25402;
1900;25407;
1900;25426;
1900;25430;
1900;25436;
1900;25438;
1900;25473;1
1900;25483;
1900;25486;
1900;25488;
1900;25489;
1900;25491;
1900;25506;
